tagname;description;engunits;lastmodified
D112.FI02.F_CV;D112.FI02.F_CV;uL/mn;27/03/2013 10:03:34
D112.FI04.F_CV;D112.FI04.F_CV;;27/03/2013 10:03:34
D112.HEV53.F_CV;;;04/06/2014 11:11:24
D112.M_FC01.F_CV;débit charge (F_CV);g/mn;03/06/2014 10:33:04
D112.M_FC01_OP.F_CV;Sortie régulateur FC01 (F_CV);%;03/06/2014 10:32:18
D112.M_FC01_SP.F_CV;Consigne régulateur FC01 (F_CV);g/mn;03/06/2014 10:32:18
D112.M_PI02.F_CV;;;20/11/2014 15:08:42
D112.M_PI03.F_CV;Pression entrïée réacteur (F_CV);BAR;03/06/2014 10:32:18
D112.M_PI04.F_CV;;;08/06/2015 11:42:50
D112.M_PI41.F_CV;Pression PT41 (F_CV);BAR;03/06/2014 10:32:18
D112.M_PI42.F_CV;Pression PT42 (F_CV);BAR;03/06/2014 10:32:18
D112.M_PI51.F_CV;Pression PT51 (F_CV);BAR;03/06/2014 10:32:18
D112.M_PI52.F_CV;Pression PT51 (F_CV);BAR;03/06/2014 10:32:18
D112.M_TI03.F_CV;Temperature TI03 Bac T-28 (F_CV);DEG;03/06/2014 10:32:18
D112.M_TI05.F_CV;Interne réacteur (F_CV);DEG;03/06/2014 10:32:18
D112.M_TI06.F_CV;Interne réacteur (F_CV);DEG;03/06/2014 10:32:18
D112.M_TI07.F_CV;Interne réacteur (F_CV);DEG;03/06/2014 10:32:18
D112.M_TI08.F_CV;Interne réacteur (F_CV);DEG;03/06/2014 10:32:18
D112.M_TI09.F_CV;Interne réacteur (F_CV);DEG;03/06/2014 10:32:18
D112.M_TI10.F_CV;Interne réacteur (F_CV);DEG;03/06/2014 10:32:18
D112.M_TI15.F_CV;Traéage (F_CV);DEG;03/06/2014 10:32:18
D112.M_TI18.F_CV;Traéage F05 (F_CV);DEG;03/06/2014 10:32:18
D112.M_TI20.F_CV;Traçage F2 (F_CV);DEG;03/06/2014 10:32:18
D112.M_TI41.F_CV;TempÃ©rature amont Valco (F_CV);DEG;03/06/2014 10:32:18
D112.M_TI42.F_CV;TempÃ©rature aval Valco (F_CV);DEG;03/06/2014 10:32:18
D112.M_TI51.F_CV;TempÃ©rature amont vanne TOP (F_CV);DEG;03/06/2014 10:32:18
D112.M_TI52.F_CV;TempÃ©rature aval vanne TOP (F_CV);DEG;03/06/2014 10:32:18
D112.M_WI01.F_CV;Poids bac charge T-28 (F_CV);g;03/06/2014 10:32:18
D112.M_WI02.F_CV;;;20/11/2014 15:08:17
D112.PI03.F_CV;D112.PI03.F_CV;bar;27/03/2013 10:03:34
D112.POS_VALCO.F_CV;;;04/06/2014 11:09:37
D112.SI20.F_CV;D112.SI20.F_CV;s;27/03/2013 10:03:34
D112.TI02.F_CV;D112.TI02.F_CV;°C;27/03/2013 10:03:34
D112.TI04.F_CV;D112.TI04.F_CV;°C;27/03/2013 10:03:34
D112.UI10.F_CV;D112.UI10.F_CV;ml/mn;27/03/2013 10:03:34
D112.WI01.F_CV;D112.WI01.F_CV;g;27/03/2013 10:03:34
ESCORT.S1_CH4;;;26/10/2016 14:36:29
ESCORT.S1_CO2;;;26/10/2016 14:36:29
ESCORT.S1_FT;;;26/10/2016 14:36:29
ESCORT.S1_O2;;;26/10/2016 14:36:29
ESCORT.S1_SP_FT;;;26/10/2016 14:36:29
ESCORT.S1_T;;;26/10/2016 14:36:29
ESCORT.SM_Direct_vent;;;26/10/2016 14:36:30
ESCORT.SM_Hygrometrie;;;26/10/2016 14:36:30
ESCORT.SM_Pluviometrie;;°C;26/10/2016 14:36:30
ESCORT.SM_Pression_Barometrique;;;26/10/2016 14:36:30
ESCORT.SM_température;;;26/10/2016 14:36:30
ESCORT.SM_Type_Precipit;;;26/10/2016 14:36:30
ESCORT.SM_Vitesse_vent;;;26/10/2016 14:36:30
FIX.DK901_PV.F_CV;Mesure Groupe Condenseur DK901 (F_CV);;28/09/2016 12:58:07
FIX.DK901_SP.F_CV;Consigne Groupe Condenseur DK901 (F_CV);;28/09/2016 12:58:07
FIX.DK902_PV.F_CV;Mesure Groupe Bouilleur DK902 (F_CV);;28/09/2016 12:58:07
FIX.DK902_SP.F_CV;Consigne Groupe Bouilleur DK902 (F_CV);;28/09/2016 12:58:07
FIX.DK902_SP_COURANTE.F_CV;Consigne Groupe Bouilleur DK902 (F_CV);;28/09/2016 12:58:07
FIX.DK903_PV.F_CV;Mesure Groupe Prechauffeur DK903 (F_CV);;28/09/2016 12:58:07
FIX.DK903_SP.F_CV;Consigne Groupe Prechauffeur DK903 (F_CV);;28/09/2016 12:58:07
FIX.DPT01_CD901_PV_BRUT.F_CV;Préssion différentielle CD901 PV (F_CV);;28/09/2016 12:58:07
FIX.DT_PB901_PV.F_CV;Mesure Densité Débit Alimentation (F_CV);;28/09/2016 12:58:07
FIX.DT_PD901_PV.F_CV;Mesure Densité Débit Distillat (F_CV);;28/09/2016 12:58:07
FIX.DT_PD902_PV.F_CV;Mesure Densité Débit Reflux (F_CV);;28/09/2016 12:58:07
FIX.DT_PD903_PV.F_CV;Mesure Densité Débit Soutirat (F_CV);;28/09/2016 12:58:07
FIX.FT_ED902_PV_BRUT.F_CV;Mesure Débit DE Bouilleur (Kg/h) (F_CV);;28/09/2016 12:58:07
FIX.FT_PB901_PV_BRUT.F_CV;Mesure Débit Alimentation (Kg/h) (F_CV);;28/09/2016 12:58:07
FIX.FT_PD901_PV_BRUT.F_CV;Mesure Débit Distillat  (Kg/h) (F_CV);;28/09/2016 12:58:07
FIX.FT_PD902_PV_BRUT.F_CV;Mesure Débit Reflux (Kg/h) (F_CV);;28/09/2016 12:58:07
FIX.FT_PD903_PV_BRUT.F_CV;Mesure Débit Soutirat (Kg/h) (F_CV);;28/09/2016 12:58:07
FIX.LCV_RD904_OP.F_CV;Sortie pompe PD902 (F_CV);;29/09/2016 12:40:40
FIX.LCV_RD905_OP.F_CV;Sortie régulée niveau RD905 (F_CV);;29/09/2016 12:40:40
FIX.LCV_RD906_OP.F_CV;Sortie régulée niveau RD906 (F_CV);;29/09/2016 12:40:40
FIX.LT_RB901_PV_BRUT.F_CV;Mesure niveau RB901 (F_CV);;28/09/2016 12:58:07
FIX.LT_RD901_PV_BRUT.F_CV;Mesure niveau RD901 (F_CV);;28/09/2016 12:58:07
FIX.LT_RD902_PV_BRUT.F_CV;Mesure niveau RD902 (F_CV);;28/09/2016 12:58:07
FIX.LT_RD904_PV_BRUT.F_CV;Mesure niveau RD904 (F_CV);;28/09/2016 12:58:07
FIX.LT_RD905_PV.F_CV;Mesure niveau RD905 (F_CV);;28/09/2016 12:58:07
FIX.LT_RD905_PV_BRUT.F_CV;Mesure niveau RD905 (F_CV);;28/09/2016 12:58:07
FIX.LT_RD905_SP.F_CV;Consigne niveau RD905 (F_CV);;28/09/2016 12:58:07
FIX.LT_RD906_PV.F_CV;Mesure niveau RD906 (F_CV);;28/09/2016 12:58:07
FIX.LT_RD906_PV_BRUT.F_CV;Mesure niveau RD906 (F_CV);;28/09/2016 12:58:07
FIX.LT_RD906_SP.F_CV;Consigne niveau RD906 (F_CV);;28/09/2016 12:58:07
FIX.PT02_CD901_PV.F_CV;Mesure pression PT02_CD901 (F_CV);;28/09/2016 12:58:07
FIX.PT02_CD901_PV_BRUT.F_CV;Mesure pression PT02_CD901 (F_CV);;28/09/2016 12:58:07
FIX.PT02_CD901_SP.F_CV;Consigne pression PT02_CD901 (F_CV);;28/09/2016 12:58:07
FIX.PT03_CD901_PV_BRUT.F_CV;Mesure vide PT03_CD901 (F_CV);;28/09/2016 12:58:07
FIX.TAUX_REFLUX_PV.F_CV;FIX.TAUX_REFLUX_PV.F_CV;;03/10/2016 15:07:46
FIX.TT01_CD901_PV_BRUT.F_CV;Mesure température tronçon 1 (F_CV);;28/09/2016 12:58:07
FIX.TT01_ED902_PV_BRUT.F_CV;Mesure température bouilleur (F_CV);;28/09/2016 12:58:07
FIX.TT02_CD901_PV_BRUT.F_CV;Mesure température tronçon 2 (F_CV);;28/09/2016 12:58:07
FIX.TT02_ED902_PV_BRUT.F_CV;Mesure température Entrée DE Bouilleur (F_CV);;28/09/2016 12:58:07
FIX.TT03_CD901_PV_BRUT.F_CV;Mesure température tronçon 3 (F_CV);;28/09/2016 12:58:07
FIX.TT03_ED902_PV_BRUT.F_CV;Mesure température Sortie DE Bouilleur (F_CV);;28/09/2016 12:58:07
FIX.TT04_CD901_PV_BRUT.F_CV;Mesure température tronçon 4 (F_CV);;28/09/2016 12:58:07
FIX.TT05_CD901_PV_BRUT.F_CV;Mesure température Bas Colonne tronçon 1 (F_CV);;28/09/2016 12:58:07
FIX.TT06_CD901_PV_BRUT.F_CV;Mesure température milieu tronçon 3 (F_CV);;28/09/2016 12:58:07
FIX.TT11_CD901_OP.F_CV;Sortie rég température régulée traçage 1 (F_CV);;28/09/2016 12:58:07
FIX.TT11_CD901_PV.F_CV;Mesure température régulée traçage 1 (F_CV);;28/09/2016 12:58:07
FIX.TT11_CD901_PV_BRUT.F_CV;Mesure température régulée traçage 1 (F_CV);;28/09/2016 12:58:07
FIX.TT11_CD901_SP.F_CV;Consigne température régulée traçage 1 (F_CV);;28/09/2016 12:58:07
FIX.TT22_CD901_OP.F_CV;Sortie rég température régulée traçage 2 (F_CV);;28/09/2016 12:58:07
FIX.TT22_CD901_PV.F_CV;Mesure température régulée traçage 2 (F_CV);;28/09/2016 12:58:07
FIX.TT22_CD901_PV_BRUT.F_CV;Mesure température régulée traçage 2 (F_CV);;28/09/2016 12:58:07
FIX.TT22_CD901_SP.F_CV;Consigne température régulée traçage 2 (F_CV);;28/09/2016 12:58:07
FIX.TT33_CD901_OP.F_CV;Sortie rég température régulée traçage 3 (F_CV);;28/09/2016 12:58:07
FIX.TT33_CD901_PV.F_CV;Mesure température régulée traçage 3 (F_CV);;28/09/2016 12:58:07
FIX.TT33_CD901_PV_BRUT.F_CV;Mesure température régulée traçage 3 (F_CV);;28/09/2016 12:58:07
FIX.TT33_CD901_SP.F_CV;Consigne température régulée traçage 3 (F_CV);;28/09/2016 12:58:07
FIX.TT44_CD901_OP.F_CV;Sortie rég température régulée traçage 4 (F_CV);;28/09/2016 12:58:07
FIX.TT44_CD901_PV.F_CV;Mesure température régulée traçage 4 (F_CV);;28/09/2016 12:58:07
FIX.TT44_CD901_PV_BRUT.F_CV;Mesure température régulée traçage 4 (F_CV);;28/09/2016 12:58:07
FIX.TT44_CD901_SP.F_CV;Consigne température régulée traçage 4 (F_CV);;28/09/2016 12:58:07
FIX.TT_EB901_PV_BRUT.F_CV;Température alimentaion mélange (F_CV);;28/09/2016 12:58:07
FIX.TT_ED901_PV_BRUT.F_CV;Température distilat (F_CV);;28/09/2016 12:58:07
FIX.TT_RB901_PV_BRUT.F_CV;Température mélange RB901 (F_CV);;28/09/2016 12:58:07
T228.FC101.F_CV;Débit air comprimé R100 (F_CV);nl/h;12/12/2013 10:51:39
T228.FC102.F_CV;Débit H2 R100 (F_CV);nl/h;12/12/2013 10:51:39
T228.FC103.F_CV;Débit N2 R100 (F_CV);nl/h;12/12/2013 10:51:39
T228.FC201.F_CV;Débit air comprimé R200 (F_CV);nl/h;12/12/2013 10:51:39
T228.FC202.F_CV;Débit H2 R200 (F_CV);nl/h;12/12/2013 10:51:39
T228.FC203.F_CV;Débit N2 R200 (F_CV);nl/h;12/12/2013 10:51:39
T228.TC102.F_CV;Température traçage capillaires bloc 100 (F_CV);°C;12/12/2013 10:51:39
T228.TC118.F_CV;Température four F101 (F_CV);°C;12/12/2013 10:51:39
T228.TC218.F_CV;Température four F201 (F_CV);°C;12/12/2013 10:51:39
T228.TI111.F_CV;Température cartouche F111 (F_CV);°C;12/12/2013 10:51:39
T228.TI112.F_CV;Température cartouche F112 (F_CV);°C;12/12/2013 10:51:39
T228.TI113.F_CV;Température cartouche F113 (F_CV);°C;12/12/2013 10:51:39
T228.TI114.F_CV;Température cartouche F114 (F_CV);°C;12/12/2013 10:51:39
T228.TI115.F_CV;Température cartouche F115 (F_CV);°C;12/12/2013 10:51:39
T228.TI116.F_CV;Température cartouche F116 (F_CV);°C;12/12/2013 10:51:39
T228.TI117.F_CV;Température cartouche F117 (F_CV);°C;12/12/2013 10:51:39
T228.TI119.F_CV;Température cartouche F119 (F_CV);°C;12/12/2013 10:51:39
T473.FC01_PV.F_CV;Débit Activateur (F_CV);nL/H;15/12/2016 12:02:47
T473.FC01_SP.F_CV;Débit Activateur (F_CV);nL/H;15/12/2016 12:02:47
T473.FC02_PV.F_CV;Débit Catalyseur (F_CV);nL/H;15/12/2016 12:02:47
T473.FC02_SP.F_CV;Débit Catalyseur (F_CV);nL/H;15/12/2016 12:02:47
T473.FC03_OP.F_CV;Débit Solvant (F_CV);%;15/12/2016 12:02:47
T473.FC03_PV.F_CV;Débit Solvant (F_CV);nL/H;15/12/2016 12:02:47
T473.FC03_SP.F_CV;Débit Solvant (F_CV);nL/H;15/12/2016 12:02:47
T473.FI04_PV.F_CV;Débit Ethylène (F_CV);nL/H;15/12/2016 12:02:47
T473.FI05_PV.F_CV;Débit Neutralisateur (F_CV);nL/H;15/12/2016 12:02:47
T473.FI06_PV.F_CV;Débit Ethylène bullage (F_CV);nL/H;15/12/2016 12:02:47
T473.II01_PV.F_CV;Mesure Couple Agitation Réacteur (F_CV);°C;15/12/2016 12:02:47
T473.II02_PV.F_CV;Mesure Couple Agitation Mélangeur (F_CV);°C;15/12/2016 12:02:47
T473.LC02_OP.F_CV;Niveau Liq Séparateur (F_CV);%;15/12/2016 12:02:47
T473.LC02_PV.F_CV;Niveau Liq Séparateur (F_CV);%;15/12/2016 12:02:47
T473.LC02_SP.F_CV;Niveau Liq Séparateur (F_CV);%;15/12/2016 12:02:47
T473.LI01_OP.F_CV;Niveau Liq Réacteur (F_CV);%;15/12/2016 12:02:47
T473.LI01_PV.F_CV;Niveau Liq Réacteur (F_CV);%;15/12/2016 12:02:47
T473.LI01_SP.F_CV;Niveau Liq Réacteur (F_CV);%;15/12/2016 12:02:47
T473.PC08_OP.F_CV;Pression Réacteur (F_CV);%;15/12/2016 12:02:47
T473.PC08_PV.F_CV;Pression Réacteur (F_CV);Bar;15/12/2016 12:02:47
T473.PC08_SP.F_CV;Pression Réacteur (F_CV);Bar;15/12/2016 12:02:47
T473.PI09_PV.F_CV;Pression Sortie Réacteur (F_CV);Bar;15/12/2016 12:02:47
T473.PI21_PV.F_CV;Pression Ballaste (F_CV);Bar;15/12/2016 12:02:47
T473.PI23_PV.F_CV;Pression Réseau Ethylène (F_CV);Bar;15/12/2016 12:02:47
T473.SC01_OP.F_CV;Agitation Réacteur (F_CV);%;15/12/2016 12:02:47
T473.SC01_PV.F_CV;Agitation Réacteur (F_CV);°C;15/12/2016 12:02:47
T473.SC01_SP.F_CV;Agitation Réacteur (F_CV);°C;15/12/2016 12:02:47
T473.SC02_OP.F_CV;Agitation Mélangeur (F_CV);%;15/12/2016 12:02:47
T473.SC02_PV.F_CV;Agitation Mélangeur (F_CV);°C;15/12/2016 12:02:47
T473.SC02_SP.F_CV;Agitation Mélangeur (F_CV);°C;15/12/2016 12:02:47
T473.TC01_OP.F_CV;Température Réacteur Liquide (F_CV);%;15/12/2016 12:02:47
T473.TC01_PV.F_CV;Température Réacteur Liquide (F_CV);°C;15/12/2016 12:02:47
T473.TC01_SP.F_CV;Température Réacteur Liquide (F_CV);°C;15/12/2016 12:02:47
T473.TC03_OP.F_CV;Traceur F04 Déverseur (F_CV);%;15/12/2016 12:02:47
T473.TC03_PV.F_CV;Traceur F04 Déverseur (F_CV);°C;15/12/2016 12:02:47
T473.TC03_SP.F_CV;Traceur F04 Déverseur (F_CV);°C;15/12/2016 12:02:47
T473.TC04_OP.F_CV;Traceur F01 Ligne (F_CV);%;15/12/2016 12:02:47
T473.TC04_PV.F_CV;Traceur F01 Ligne (F_CV);°C;15/12/2016 12:02:47
T473.TC04_SP.F_CV;Traceur F01 Ligne (F_CV);°C;15/12/2016 12:02:47
T473.TC06_OP.F_CV;Traceur F03 Mélangeur (F_CV);%;15/12/2016 12:02:47
T473.TC06_PV.F_CV;Traceur F03 Mélangeur (F_CV);°C;15/12/2016 12:02:47
T473.TC06_SP.F_CV;Traceur F03 Mélangeur (F_CV);°C;15/12/2016 12:02:47
T473.TC07_OP.F_CV;Traceur F02 Séparateur (F_CV);%;15/12/2016 12:02:47
T473.TC07_PV.F_CV;Traceur F02 Séparateur (F_CV);°C;15/12/2016 12:02:47
T473.TC07_SP.F_CV;Traceur F02 Séparateur (F_CV);°C;15/12/2016 12:02:47
T473.TC08_OP.F_CV;T473.TC08_OP.F_CV;%;15/12/2016 12:02:47
T473.TC08_PV.F_CV;T473.TC08_PV.F_CV;%;15/12/2016 12:02:47
T473.TC08_SP.F_CV;T473.TC08_SP.F_CV;%;15/12/2016 12:02:47
T473.TI08_PV.F_CV;Température Réacteur Régulation (F_CV);°C;15/12/2016 12:02:47
T473.TI09_PV.F_CV;Température Réacteur Gaz (F_CV);°C;15/12/2016 12:02:47
T473.TI10_PV.F_CV;Température Cryostat (F_CV);°C;15/12/2016 12:02:47
T473.TI18_PV.F_CV;T473.TI18_PV.F_CV;°C;15/12/2016 12:02:47
T536.A2;concentration de CO2;ppm vol.;25/01/2017 11:03:22
T536.A51a;concentration de CO2 à -60 cm;% vol.;25/01/2017 11:03:22
T536.A51b;concentration de CH4 à -60 cm;ppm vol.;25/01/2017 11:03:22
T536.A51c;Concentration de 02 à -60cm;% vol.;25/01/2017 11:03:22
T536.A52a;concentration de CO2 à -120 cm;% vol.;25/01/2017 11:03:22
T536.A52b;concentration de CH4 à -120 cm;ppm vol.;25/01/2017 11:03:22
T536.A52c;Concentration de 02 à -120cm;% vol.;25/01/2017 11:03:22
T536.A53a;concentration de CO2 à -180 cm;% vol.;25/01/2017 11:03:22
T536.A53b;concentration de CH4 à -180 cm;ppm vol.;25/01/2017 11:03:22
T536.A53c;Concentration de 02 à -180cm;% vol.;25/01/2017 11:03:22
T536.E1a;Tension de reception;Volts;25/01/2017 11:03:22
T536.E1b;Polarisation induite;Volts;25/01/2017 11:03:22
T536.E1c;Potentiel spontanné;Volts;25/01/2017 11:03:22
T536.E2a;Tension de reception;Volts;20/02/2017 13:10:12
T536.E2b;Polarisation induite;Volts;20/02/2017 13:10:33
T536.E2c;Potentiel spontanné;Volts;20/02/2017 13:12:31
T536.E3a;Tension de reception;Volts;20/02/2017 13:11:01
T536.E3b;Polarisation induite;Volts;20/02/2017 13:11:15
T536.E3c;Potentiel spontanné;Volts;20/02/2017 13:10:47
T536.F2;flux de CO2 surfacique;µmol/m²/seconde;25/01/2017 11:03:22
T536.F61;débit à -60 cm;Litre/heure;25/01/2017 11:03:22
T536.F62;débit à -120 cm;Litre/heure;25/01/2017 11:03:22
T536.F63;débit à -180 cm;Litre/heure;25/01/2017 11:03:22
T536.F7;précipitation intensité;mm/heure;25/01/2017 11:03:22
T536.I1;Courant d'injection;Ampères;25/01/2017 11:03:22
T536.I2;Courant d'injection;Ampères;20/02/2017 12:20:24
T536.I3;Courant d'injection;Ampères;20/02/2017 12:20:44
T536.L7;précipitation type;Pluie/Neige;25/01/2017 11:03:22
T536.M7;;% relative humidity;25/01/2017 11:03:22
T536.P7;;hectoPascal;25/01/2017 11:03:22
T536.R3;taux d'ensoleillement;Watt/m²;25/01/2017 11:03:22
T536.S7;;mètres/seconde;25/01/2017 11:03:22
T536.T2;température cloche extérieure;°C;25/01/2017 11:03:22
T536.T41;température à -60 cm;°C;25/01/2017 11:03:22
T536.T410;température à l'intérieur de l'armoire;°C;25/01/2017 11:03:22
T536.T42;température à -120 cm;°C;25/01/2017 11:03:22
T536.T43;température à -180 cm;°C;25/01/2017 11:03:22
T536.T7;;°C;25/01/2017 11:03:22
T536.Z7;;azimute °N;25/01/2017 11:03:22
U013.LIMS_AP10_1;HYDROGENE GAZEUX;% v/v;25/02/2011 10:29:22
U013.LIMS_AP10_2;MASSE MOLAIRE;g/mol;25/02/2011 10:29:22
U018.FC01_PV.F_CV;Mesure Régulateur Débit H2 / N2 (F_CV);L/H;25/02/2011 10:29:22
U018.FC01_SP.F_CV;Consigne  Régulateur Débit H2 / N2 (F_CV);L/H;25/02/2011 10:29:22
U018.FC01B.F_CV;Mesure Régulateur Débit H2 / N2 (F_CV);L/H;25/02/2011 10:29:22
U018.FC11_PV.F_CV;Mesure Régulateur Débit Stripping H2 (F_CV);L/H;25/02/2011 10:29:22
U018.FC11_SP.F_CV;Consigne Régulateur Débit Stripping H2 (F_CV);L/H;25/02/2011 10:29:22
U018.FC12_OP.F_CV;Sortie Régulateur Débit Charge (F_CV);%;26/02/2013 13:16:48
U018.FC12_PV.F_CV;Mesure Régulateur Débit Charge (F_CV);G/H;25/02/2011 10:29:22
U018.FC12_SP.F_CV;Consigne Régulateur Débit Charge (F_CV);G/H;25/02/2011 10:29:22
U018.FC12B.F_CV;Mesure Régulateur Débit Charge (F_CV);G/H;25/02/2011 10:29:22
U018.FI01_GAIN.F_CV;Gain Correction Métrologique FI01 (F_CV);;25/02/2011 10:29:22
U018.FI01_OFFSET.F_CV;Offset Correction Métrologique FI01 (F_CV);;25/02/2011 10:29:22
U018.FI05.F_CV;Débit Compteur Gaz Unité (F_CV);L/H;25/02/2011 10:29:22
U018.FQ05.F_CV;Compteur Gaz Unité en L (F_CV);L;25/02/2011 10:29:22
U018.LC01_OP.F_CV;Sortie Régulateur NIveau Séparateur V-1 (F_CV);%;25/02/2011 10:29:22
U018.LC01_PV.F_CV;Mesure Régulateur Niveau Séparateur V-1 (F_CV);%;20/11/2013 09:10:49
U018.LC01_SP.F_CV;Consigne Régulateur Niv. Séparateur V-1 (F_CV);%;25/02/2011 10:29:22
U018.LI01.F_CV;Niveau Séparateur V-1 (F_CV);%;25/02/2011 10:29:22
U018.LI02.F_CV;Niveau Pot de Charge T2 (F_CV);%;25/02/2011 10:29:22
U018.LI07.F_CV;Niveau Pot de Recette T-5 (F_CV);%;25/02/2011 10:29:22
U018.LI10.F_CV;Niveau Pot de Slop T-10 (F_CV);%;25/02/2011 10:29:22
U018.PC01_OP.F_CV;Sortie Régulateur Pression V-1 (F_CV);%;25/02/2011 10:29:22
U018.PC01_PV.F_CV;Mesure Régulateur Pression V-1 (F_CV);bar;25/02/2011 10:29:22
U018.PC01_SP.F_CV;Consigne Régulateur Pression V-1 (F_CV);bar;25/02/2011 10:29:22
U018.PC03_OP.F_CV;Sortie Régul. Pression Sortie Réacteur (F_CV);%;25/02/2011 10:29:22
U018.PC03_PV.F_CV;Mesure Régul. Pression Sortie Réacteur (F_CV);bar;25/02/2011 10:29:22
U018.PC03_SP.F_CV;Consigne Régul. Pression Sortie Réacteur (F_CV);bar;25/02/2011 10:29:22
U018.PI01.F_CV;Mesure Pression V-1 (F_CV);bar;25/02/2011 10:29:22
U018.PI01_GAIN.F_CV;Gain Correction Métrologique PI01 (F_CV);;25/02/2011 10:29:22
U018.PI01_OFFSET.F_CV;Offset Correction Métrologique PI01 (F_CV);;25/02/2011 10:29:22
U018.PI02.F_CV;Pression Entrée Réacteur (F_CV);bar;25/02/2011 10:29:22
U018.PI02_GAIN.F_CV;Gain Correction Métrologique PI02 (F_CV);;25/02/2011 10:29:22
U018.PI02_OFFSET.F_CV;Offset Correction Métrologique PI02 (F_CV);;25/02/2011 10:29:22
U018.PI03.F_CV;Pression Sortie Réacteur (F_CV);bar;25/02/2011 10:29:22
U018.PI03_GAIN.F_CV;Gain Correction Métrologique PI03 (F_CV);;25/02/2011 10:29:22
U018.PI03_OFFSET.F_CV;Offset Correction Métrologique PI03 (F_CV);;25/02/2011 10:29:22
U018.PI10.F_CV;Pression Injection H2 (F_CV);bar;25/02/2011 10:29:22
U018.PI16.F_CV;Pression Amont Pompe P-2 (F_CV);bar;25/02/2011 10:29:22
U018.TC01_OP.F_CV;Sortie Régulateur T° Réacteur Zone 1 (F_CV);%;25/02/2011 10:29:22
U018.TC01_PV.F_CV;Mesure Régulateur T° Réacteur Zone 1 (F_CV);°C;25/02/2011 10:29:22
U018.TC01_SP.F_CV;Consigne Régulateur T° Réacteur Zone 1 (F_CV);°C;25/02/2011 10:29:22
U018.TC02_OP.F_CV;Sortie Régulateur T° Réacteur Zone 2 (F_CV);%;25/02/2011 10:29:22
U018.TC02_PV.F_CV;Mesure Régulateur T° Réacteur Zone 2 (F_CV);°C;25/02/2011 10:29:22
U018.TC02_SP.F_CV;Consigne Régulateur T° Réacteur Zone 2 (F_CV);°C;25/02/2011 10:29:22
U018.TC03_OP.F_CV;Sortie Régulateur T° Réacteur Zone 3 (F_CV);%;25/02/2011 10:29:22
U018.TC03_PV.F_CV;Mesure Régulateur T° Réacteur Zone 3 (F_CV);°C;25/02/2011 10:29:22
U018.TC03_SP.F_CV;Consigne Régulateur T° Réacteur Zone 3 (F_CV);°C;25/02/2011 10:29:22
U018.TC04_OP.F_CV;Sortie Régulateur T° Réacteur Zone 4 (F_CV);%;25/02/2011 10:29:22
U018.TC04_PV.F_CV;Mesure Régulateur T° Réacteur Zone 4 (F_CV);°C;25/02/2011 10:29:22
U018.TC04_SP.F_CV;Consigne Régulateur T° Réacteur Zone 4 (F_CV);°C;25/02/2011 10:29:22
U018.TC05_OP.F_CV;Sortie Régulateur T° Réacteur Zone 5 (F_CV);%;25/02/2011 10:29:22
U018.TC05_PV.F_CV;Mesure Régulateur T° Réacteur Zone 5 (F_CV);°C;25/02/2011 10:29:22
U018.TC05_SP.F_CV;Consigne Régulateur T° Réacteur Zone 5 (F_CV);°C;25/02/2011 10:29:22
U018.TC06_OP.F_CV;Sortie Régulateur T° Réacteur Zone 6 (F_CV);%;25/02/2011 10:29:22
U018.TC06_PV.F_CV;Mesure Régulateur T° Réacteur Zone 6 (F_CV);°C;25/02/2011 10:29:22
U018.TC06_SP.F_CV;Consigne Régulateur T° Réacteur Zone 6 (F_CV);°C;25/02/2011 10:29:22
U018.TC21_OP.F_CV;Sortie Régulateur T° Caisson T-1 (F_CV);%;25/02/2011 10:29:22
U018.TC21_PV.F_CV;Mesure Régulateur T° Caisson T-1 (F_CV);°C;25/02/2011 10:29:22
U018.TC21_SP.F_CV;Consigne Régulateur T° Caisson T-1 (F_CV);°C;25/02/2011 10:29:22
U018.TC22_OP.F_CV;Sortie Régulateur T° Bougies P-1A (F_CV);%;25/02/2011 10:29:22
U018.TC22_PV.F_CV;Mesure Régulateur T° TBougies P-1A (F_CV);°C;25/02/2011 10:29:22
U018.TC22_SP.F_CV;Consigne Régulateur T° Bougies P-1A (F_CV);°C;25/02/2011 10:29:22
U018.TC23_OP.F_CV;Sortie Régulateur T° Bougies P2 (F_CV);%;25/02/2011 10:29:22
U018.TC23_PV.F_CV;Mesure Régulateur T° Bougies P-2 (F_CV);°C;25/02/2011 10:29:22
U018.TC23_SP.F_CV;Consigne Régulateur T° Bougies P-2 (F_CV);°C;25/02/2011 10:29:22
U018.TC24_OP.F_CV;Sortie Régulateur T° Bougies P-1B (F_CV);%;25/02/2011 10:29:22
U018.TC24_PV.F_CV;Mesure Régulateur T° Bougies P-1B (F_CV);°C;25/02/2011 10:29:22
U018.TC24_SP.F_CV;Consigne Régulateur T° Bougies P-1B (F_CV);°C;25/02/2011 10:29:22
U018.TC26_OP.F_CV;Sortie Régulateur T° Etuve (F_CV);%;25/02/2011 10:29:22
U018.TC26_PV.F_CV;Mesure Régulateur T° Etuve (F_CV);°C;25/02/2011 10:29:22
U018.TC26_SP.F_CV;Consigne Régulateur T° Etuve (F_CV);°C;25/02/2011 10:29:22
U018.TC27_OP.F_CV;Sortie Régulateur T° Entrée Réacteur (F_CV);%;25/02/2011 10:29:22
